lesson,order_in_lesson,kanji,keyword,slug,v1_concept_summary,v2Concept,subjectType,humanPresence,narrativeStrength,emotionalTone,colorWeight,atmosphere,galleryPriority
7,12,省,government_ministry,government_ministry,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «government_ministry»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 省 only if carved, cast, or woven into the scene.",human,secondary,implied,"tactile, cool-warm",moderate,"tactile, cool-warm; exhibition depth",supporting
7,13,厚,thick,thick,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «thick»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 厚 only if carved, cast, or woven into the scene.",still_life,none,implied,"tactile, cool-warm",moderate,"tactile, cool-warm; exhibition depth",supporting
7,14,奇,strange,strange,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «strange»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 奇 only if carved, cast, or woven into the scene.",human,secondary,implied,"tactile, cool-warm",moderate,"tactile, cool-warm; exhibition depth",supporting
7,15,川,river,river,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Rain on stone basin overflowing — weather as protagonist; silver streaks, deep green moss, one wooden ladle.",landscape,secondary,implied,flowing calm,moderate,"wet stone, atmospheric depth",supporting
7,16,州,state,state,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «state»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 州 only if carved, cast, or woven into the scene.",mixed,implied,implied,"tactile, cool-warm",moderate,"tactile, cool-warm; exhibition depth",supporting
7,17,順,follow,follow,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «follow»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 順 only if carved, cast, or woven into the scene.",landscape,none,implied,"tactile, cool-warm",moderate,"tactile, cool-warm; exhibition depth",supporting
7,18,水,water,water,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"River or shore at blue hour, current carrying reflected sky — a figure optional at the margin; warm red and orange with ivory strokes; water as moving light.",landscape,secondary,implied,flowing calm,moderate,"wet stone, atmospheric depth",supporting
7,19,氷,ice,ice,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Rain on stone basin overflowing — weather as protagonist; silver streaks, deep green moss, one wooden ladle.",landscape,secondary,implied,flowing calm,moderate,"wet stone, atmospheric depth",feature
7,20,永,eternity,eternity,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «eternity»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 永 only if carved, cast, or woven into the scene.",human,secondary,implied,"tactile, cool-warm",moderate,"tactile, cool-warm; exhibition depth",hero
8,1,泉,spring,spring,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Rain on stone basin overflowing — weather as protagonist; silver streaks, deep green moss, one wooden ladle.",landscape,secondary,implied,flowing calm,moderate,"wet stone, atmospheric depth",transition
8,2,腺,gland,gland,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «gland»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 腺 only if carved, cast, or woven into the scene.",human,secondary,implied,"flowing, restorative",moderate,"flowing, restorative; exhibition depth",transition
8,3,原,meadow,meadow,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «meadow»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 原 only if carved, cast, or woven into the scene.",mixed,implied,implied,"flowing, restorative",moderate,"flowing, restorative; exhibition depth",transition
8,4,願,petition,petition,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «petition»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 願 only if carved, cast, or woven into the scene.",mixed,implied,implied,"flowing, restorative",moderate,"flowing, restorative; exhibition depth",supporting
8,5,泳,swim,swim,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"River or shore at blue hour, current carrying reflected sky — a figure optional at the margin; deep indigo and muted gold with cool ivory strokes; water as moving light.",landscape,secondary,implied,flowing calm,moderate,"wet stone, atmospheric depth",supporting
8,6,沼,marsh,marsh,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"River or shore at blue hour, current carrying reflected sky — a figure optional at the margin; deep indigo and muted gold with cool ivory strokes; water as moving light.",landscape,secondary,implied,flowing calm,moderate,"wet stone, atmospheric depth",supporting
8,7,沖,open_sea,open_sea,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «open_sea»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 沖 only if carved, cast, or woven into the scene.",human,secondary,implied,"flowing, restorative",moderate,"flowing, restorative; exhibition depth",hero
8,8,汎, ,general,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for « »: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 汎 only if carved, cast, or woven into the scene.",landscape,none,implied,"flowing, restorative",moderate,"flowing, restorative; exhibition depth",supporting
8,9,江,creek,creek,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Rain on stone basin overflowing — weather as protagonist; silver streaks, deep green moss, one wooden ladle.",landscape,secondary,implied,flowing calm,moderate,"wet stone, atmospheric depth",supporting
8,10,汰,cleanse,cleanse,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «cleanse»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 汰 only if carved, cast, or woven into the scene.",still_life,none,implied,"flowing, restorative",moderate,"flowing, restorative; exhibition depth",feature
8,11,汁,soup,soup,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"River or shore at blue hour, current carrying reflected sky — a figure optional at the margin; deep indigo and muted gold with cool ivory strokes; water as moving light.",landscape,secondary,implied,flowing calm,moderate,"wet stone, atmospheric depth",supporting
8,12,沙,grains_of_sand,grains_of_sand,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «grains_of_sand»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 沙 only if carved, cast, or woven into the scene.",mixed,implied,implied,"flowing, restorative",moderate,"flowing, restorative; exhibition depth",supporting
8,13,潮,tide,tide,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"River or shore at blue hour, current carrying reflected sky — a figure optional at the margin; deep indigo and muted gold with cool ivory strokes; water as moving light.",landscape,secondary,implied,flowing calm,moderate,"wet stone, atmospheric depth",supporting
8,14,源,source,source,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «source»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 源 only if carved, cast, or woven into the scene.",human,secondary,implied,"flowing, restorative",moderate,"flowing, restorative; exhibition depth",supporting
8,15,活,lively,lively,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «lively»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 活 only if carved, cast, or woven into the scene.",landscape,none,implied,"flowing, restorative",moderate,"flowing, restorative; exhibition depth",supporting
8,16,消,extinguish,extinguish,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «extinguish»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 消 only if carved, cast, or woven into the scene.",human,secondary,implied,"flowing, restorative",moderate,"flowing, restorative; exhibition depth",hero
8,17,況,condition,condition,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «condition»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 況 only if carved, cast, or woven into the scene.",still_life,none,implied,"flowing, restorative",moderate,"flowing, restorative; exhibition depth",supporting
8,18,河,large_river,large_river,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «large_river»: a compelling real-world subject — figure, object, or weather — in deep indigo and muted gold with cool ivory strokes; impressionistic realism; moment from a larger story; kanji 河 only if carved, cast, or woven into the scene.",mixed,implied,implied,"flowing, restorative",moderate,"flowing, restorative; exhibition depth",supporting
8,19,泊,overnight,overnight,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Window scene: interior dark, exterior lit — the hour itself is the subject.",weather,implied,implied,temporal hush,rich,amber and silver split,feature
8,20,湖,lake,lake,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Rain on stone basin overflowing — weather as protagonist; silver streaks, deep green moss, one wooden ladle.",landscape,secondary,implied,flowing calm,moderate,"wet stone, atmospheric depth",hero
9,1,測,fathom,fathom,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «fathom»: a compelling real-world subject — figure, object, or weather — in moss green and aged bronze; impressionistic realism; moment from a larger story; kanji 測 only if carved, cast, or woven into the scene.",mixed,implied,implied,"weighted, civic-natural",restrained,"weighted, civic-natural; exhibition depth",transition
9,2,土,soil,soil,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «soil»: a compelling real-world subject — figure, object, or weather — in moss green and aged bronze; impressionistic realism; moment from a larger story; kanji 土 only if carved, cast, or woven into the scene.",human,secondary,implied,"weighted, civic-natural",restrained,"weighted, civic-natural; exhibition depth",transition
9,3,吐,spit,spit,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «spit»: a compelling real-world subject — figure, object, or weather — in moss green and aged bronze; impressionistic realism; moment from a larger story; kanji 吐 only if carved, cast, or woven into the scene.",landscape,none,implied,"weighted, civic-natural",restrained,"weighted, civic-natural; exhibition depth",transition
9,4,圧,pressure,pressure,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «pressure»: a compelling real-world subject — figure, object, or weather — in moss green and aged bronze; impressionistic realism; moment from a larger story; kanji 圧 only if carved, cast, or woven into the scene.",mixed,implied,implied,"weighted, civic-natural",restrained,"weighted, civic-natural; exhibition depth",supporting
9,5,埼,cape,cape,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «cape»: a compelling real-world subject — figure, object, or weather — in moss green and aged bronze; impressionistic realism; moment from a larger story; kanji 埼 only if carved, cast, or woven into the scene.",mixed,implied,implied,"weighted, civic-natural",restrained,"weighted, civic-natural; exhibition depth",supporting
9,6,垣,hedge,hedge,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «hedge»: a compelling real-world subject — figure, object, or weather — in moss green and aged bronze; impressionistic realism; moment from a larger story; kanji 垣 only if carved, cast, or woven into the scene.",still_life,none,implied,"weighted, civic-natural",restrained,"weighted, civic-natural; exhibition depth",supporting
9,7,填,inlay,inlay,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «inlay»: a compelling real-world subject — figure, object, or weather — in moss green and aged bronze; impressionistic realism; moment from a larger story; kanji 填 only if carved, cast, or woven into the scene.",human,secondary,implied,"weighted, civic-natural",restrained,"weighted, civic-natural; exhibition depth",supporting
9,8,圭,jade,jade,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Still life on cloth: metal or stone object catching slit light — patina, scratch, weight; museum case without the case.",still_life,secondary,static,material reverence,moderate,"specular highlight, dark ground",hero
9,9,封,seal,seal,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «seal»: a compelling real-world subject — figure, object, or weather — in moss green and aged bronze; impressionistic realism; moment from a larger story; kanji 封 only if carved, cast, or woven into the scene.",landscape,none,implied,"weighted, civic-natural",restrained,"weighted, civic-natural; exhibition depth",supporting
9,10,涯,horizon,horizon,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «horizon»: a compelling real-world subject — figure, object, or weather — in moss green and aged bronze; impressionistic realism; moment from a larger story; kanji 涯 only if carved, cast, or woven into the scene.",human,secondary,implied,"weighted, civic-natural",restrained,"weighted, civic-natural; exhibition depth",feature
9,11,寺,temple,temple,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Architectural passage — corridor, gate, or alley — figure crossing threshold; weathered stone, moss green and aged bronze.",architecture,secondary,implied,institutional calm,restrained,"stone grey, lantern amber",supporting
9,12,時,time,time,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «time»: a compelling real-world subject — figure, object, or weather — in moss green and aged bronze; impressionistic realism; moment from a larger story; kanji 時 only if carved, cast, or woven into the scene.",mixed,implied,implied,"weighted, civic-natural",restrained,"weighted, civic-natural; exhibition depth",supporting
9,13,均,level,level,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «level»: a compelling real-world subject — figure, object, or weather — in moss green and aged bronze; impressionistic realism; moment from a larger story; kanji 均 only if carved, cast, or woven into the scene.",still_life,none,implied,"weighted, civic-natural",restrained,"weighted, civic-natural; exhibition depth",supporting
9,14,火,fire,fire,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Hearth or forge corner: ember core, face lit from below if a figure tends flame — crimson accent in indigo room.",weather,secondary,active,compressed heat,rich,ember and shadow,supporting
9,15,炎,inflammation,inflammation,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Storm light on hillside, distant lightning dividing sky — fire as weather, not symbol.",weather,secondary,active,compressed heat,rich,ember and shadow,supporting
9,16,煩,anxiety,anxiety,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Interior twilight: a face turned from window light, emotion held in jaw and hand — anxiety as atmosphere, not caption.",human,primary,static,emotional twilight,rich,"violet dusk, smoky rose",feature
9,17,淡,faint,faint,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «faint»: a compelling real-world subject — figure, object, or weather — in moss green and aged bronze; impressionistic realism; moment from a larger story; kanji 淡 only if carved, cast, or woven into the scene.",landscape,none,implied,"weighted, civic-natural",restrained,"weighted, civic-natural; exhibition depth",supporting
9,18,灯,lamp,lamp,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Storm light on hillside, distant lightning dividing sky — fire as weather, not symbol.",weather,secondary,active,compressed heat,rich,ember and shadow,supporting
9,19,畑,farm,farm,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «farm»: a compelling real-world subject — figure, object, or weather — in moss green and aged bronze; impressionistic realism; moment from a larger story; kanji 畑 only if carved, cast, or woven into the scene.",human,secondary,implied,"weighted, civic-natural",restrained,"weighted, civic-natural; exhibition depth",feature
9,20,災,disaster,disaster,V1 KML-CINE: study illustration tied to lesson palette and verse mood.,"Gallery still for «disaster»: a compelling real-world subject — figure, object, or weather — in moss green and aged bronze; impressionistic realism; moment from a larger story; kanji 災 only if carved, cast, or woven into the scene.",human,secondary,implied,"weighted, civic-natural",restrained,"weighted, civic-natural; exhibition depth",hero
10,1,灰,ashes,ashes,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «ashes»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 灰 only if carved, cast, or woven into the scene.",landscape,none,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,transition
10,2,点,point,point,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «point»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 点 only if carved, cast, or woven into the scene.",still_life,none,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,transition
10,3,照,illuminate,illuminate,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «illuminate»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 照 only if carved, cast, or woven into the scene.",still_life,none,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,hero
10,4,魚,fish,fish,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Early morning: a fish at the forest margin, breath visible, dew on grass — impressionistic realism, story implied beyond the edge of trees.",animal,none,active,ink-deep focus,moderate,"living air, tactile detail",supporting
10,5,漁,fishing,fishing,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"A fishing caught mid-movement in turquoise and weathered gold light — fur, scale, or feather rendered with tactile realism; the animal owns the frame.",animal,none,active,ink-deep focus,moderate,"living air, tactile detail",supporting
10,6,里,home_village,home_village,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «home_village»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 里 only if carved, cast, or woven into the scene.",human,secondary,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,supporting
10,7,黒,black,black,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «black»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 黒 only if carved, cast, or woven into the scene.",still_life,none,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,supporting
10,8,墨,black_ink,black_ink,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «black_ink»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 墨 only if carved, cast, or woven into the scene.",mixed,implied,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,supporting
10,9,鯉,carp,carp,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"A carp caught mid-movement in turquoise and weathered gold light — fur, scale, or feather rendered with tactile realism; the animal owns the frame.",animal,none,active,ink-deep focus,moderate,"living air, tactile detail",supporting
10,10,量,quantity,quantity,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «quantity»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 量 only if carved, cast, or woven into the scene.",mixed,implied,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,feature
10,11,厘,thousandth,thousandth,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «thousandth»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 厘 only if carved, cast, or woven into the scene.",still_life,none,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,supporting
10,12,埋,bury,bury,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «bury»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 埋 only if carved, cast, or woven into the scene.",mixed,implied,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,supporting
10,13,同,same,same,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «same»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 同 only if carved, cast, or woven into the scene.",landscape,none,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,supporting
10,14,洞,den,den,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «den»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 洞 only if carved, cast, or woven into the scene.",landscape,none,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,supporting
10,15,胴,trunk,trunk,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Mid-action freeze: a figure trunking through weather — coat or cloth caught by wind; diagonal energy, cinematic still.",human,primary,active,kinetic resolve,moderate,motion blur on rain,supporting
10,16,向,yonder,yonder,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «yonder»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 向 only if carved, cast, or woven into the scene.",mixed,implied,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,supporting
10,17,尚,esteem,esteem,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «esteem»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 尚 only if carved, cast, or woven into the scene.",mixed,implied,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,supporting
10,18,字,letter,letter,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Desk at night: paper, ink, one lamp — reader leaning close; scholarly intimacy, not instruction.",still_life,secondary,implied,scholarly calm,restrained,"lamp pool, parchment cream",hero
10,19,守,guard,guard,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «guard»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 守 only if carved, cast, or woven into the scene.",mixed,implied,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,feature
10,20,完,complete,complete,V1 KML-NOIR: study illustration tied to lesson palette and verse mood.,"Gallery still for «complete»: a compelling real-world subject — figure, object, or weather — in turquoise and weathered gold; impressionistic realism; moment from a larger story; kanji 完 only if carved, cast, or woven into the scene.",landscape,none,implied,ink-deep focus,moderate,ink-deep focus; exhibition depth,hero
11,1,宣,proclaim,proclaim,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «proclaim»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 宣 only if carved, cast, or woven into the scene.",landscape,none,implied,"generous, leafy",restrained,"generous, leafy; exhibition depth",transition
11,2,宵,early_morning,early_morning,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Window scene: interior dark, exterior lit — the hour itself is the subject.",weather,implied,implied,temporal hush,rich,amber and silver split,transition
11,3,安,relax,relax,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «relax»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 安 only if carved, cast, or woven into the scene.",human,secondary,implied,"generous, leafy",restrained,"generous, leafy; exhibition depth",transition
11,4,宴,banquet,banquet,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «banquet»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 宴 only if carved, cast, or woven into the scene.",mixed,implied,implied,"generous, leafy",restrained,"generous, leafy; exhibition depth",hero
11,5,寄,draw_near,draw_near,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «draw_near»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 寄 only if carved, cast, or woven into the scene.",human,secondary,implied,"generous, leafy",restrained,"generous, leafy; exhibition depth",supporting
11,6,富,wealth,wealth,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «wealth»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 富 only if carved, cast, or woven into the scene.",human,secondary,implied,"generous, leafy",restrained,"generous, leafy; exhibition depth",supporting
11,7,貯,savings,savings,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «savings»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 貯 only if carved, cast, or woven into the scene.",still_life,none,implied,"generous, leafy",restrained,"generous, leafy; exhibition depth",supporting
11,8,木,tree,tree,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,A single tree holding wind in its branches — roots gripping stone; earth umber and parchment cream; landscape as portrait.,landscape,secondary,implied,grounded life,restrained,"green depth, gold rim light",supporting
11,9,林,woods,woods,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,A single woods holding wind in its branches — roots gripping stone; earth umber and parchment cream; landscape as portrait.,landscape,secondary,implied,grounded life,restrained,"green depth, gold rim light",supporting
11,10,森,forest,forest,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,A single forest holding wind in its branches — roots gripping stone; earth umber and parchment cream; landscape as portrait.,landscape,secondary,implied,grounded life,restrained,"green depth, gold rim light",feature
11,11,桂,judas_tree,judas_tree,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Planting or harvest moment: hands near soil, seedling or leaf backlit — growth as narrative, not botany slide.",landscape,secondary,implied,grounded life,restrained,"green depth, gold rim light",supporting
11,12,柏,oak,oak,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,A single oak holding wind in its branches — roots gripping stone; earth umber and parchment cream; landscape as portrait.,landscape,secondary,implied,grounded life,restrained,"green depth, gold rim light",supporting
11,13,枠,frame,frame,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «frame»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 枠 only if carved, cast, or woven into the scene.",landscape,none,implied,"generous, leafy",restrained,"generous, leafy; exhibition depth",supporting
11,14,梢,treetops,treetops,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Planting or harvest moment: hands near soil, seedling or leaf backlit — growth as narrative, not botany slide.",landscape,secondary,implied,grounded life,restrained,"green depth, gold rim light",supporting
11,15,棚,shelf,shelf,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «shelf»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 棚 only if carved, cast, or woven into the scene.",still_life,none,implied,"generous, leafy",restrained,"generous, leafy; exhibition depth",supporting
11,16,杏,apricot,apricot,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,A single apricot holding wind in its branches — roots gripping stone; earth umber and parchment cream; landscape as portrait.,landscape,secondary,implied,grounded life,restrained,"green depth, gold rim light",supporting
11,17,桐,paulownia_tree,paulownia_tree,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Planting or harvest moment: hands near soil, seedling or leaf backlit — growth as narrative, not botany slide.",landscape,secondary,implied,grounded life,restrained,"green depth, gold rim light",supporting
11,18,植,plant,plant,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Planting or harvest moment: hands near soil, seedling or leaf backlit — growth as narrative, not botany slide.",landscape,secondary,implied,grounded life,restrained,"green depth, gold rim light",supporting
11,19,椅,chair,chair,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Gallery still for «chair»: a compelling real-world subject — figure, object, or weather — in earth umber and parchment cream; impressionistic realism; moment from a larger story; kanji 椅 only if carved, cast, or woven into the scene.",human,secondary,implied,"generous, leafy",restrained,"generous, leafy; exhibition depth",feature
11,20,枯,wither,wither,V1 KML-WASH: study illustration tied to lesson palette and verse mood.,"Planting or harvest moment: hands near soil, seedling or leaf backlit — growth as narrative, not botany slide.",landscape,secondary,implied,grounded life,restrained,"green depth, gold rim light",hero
12,1,朴,crude,crude,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «crude»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 朴 only if carved, cast, or woven into the scene.",mixed,implied,implied,"reflective, bittersweet",moderate,"reflective, bittersweet; exhibition depth",transition
12,2,村,village,village,V1 KML-IMPR: study illustration tied to lesson palette and verse mood.,"Gallery still for «village»: a compelling real-world subject — figure, object, or weather — in warm red and orange with ivory strokes; impressionistic realism; moment from a larger story; kanji 村 only if carved, cast, or woven into the scene.",human,secondary,implied,"reflective, bittersweet",moderate,"reflective, bittersweet; exhibition depth",transition
