kanji,slug,prompt
詣,visit_shrine,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
壱,formal_one,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
毎,every,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
敏,cleverness,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
梅,ume,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
海,sea,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
乞,beg,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
乾,drought,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
腹,abdomen,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
複,duplicate,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
欠,lack,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
吹,blow,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
炊,cook,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
歌,song,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
軟,soft,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
次,next,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
茨,briar,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
資,assets,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
姿,figure,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
諮,consult_with,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
賠,compensation,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
培,cultivate,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
剖,divide,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
音,sound,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
暗,darkness,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
韻,rhyme,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
識,discriminating,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
鏡,mirror,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
境,boundary,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
亡,deceased,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
盲,blind,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
妄,delusion,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
荒,laid_waste,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
望,ambition,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
方,direction,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
妨,disturb,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
坊,boy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
芳,perfume,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
肪,obese,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
訪,call_on,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
放,release,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
激,violent,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
脱,undress,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
説,theory,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
鋭,pointed,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
曽,formerly,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
増,increase,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
贈,presents,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
東,east,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
棟,ridgepole,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
凍,frozen,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
妊,pregnancy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
廷,courts,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
染,dye,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
燃,burn,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
賓,vip,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
歳,year_end,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
県,prefecture,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
栃,horse_chestnut,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
地,ground,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
池,pond,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
虫,insect,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
蛍,lightning_bug,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
蛇,snake,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
虹,rainbow,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
蝶,butterfly,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
独,alone,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
蚕,silkworm,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
風,wind,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
己,self,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
起,wake_up,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
妃,queen,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
改,reformation,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
記,scribe,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
包,wrap,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
胞,placenta,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
砲,cannon,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
泡,bubbles,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
亀,turtle,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
電,electricity,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
竜,dragon,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
滝,waterfall,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
豚,pork,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
逐,pursue,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
遂,consummate,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
家,house,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
嫁,marry_into,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
豪,overpowering,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
腸,intestines,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
場,location,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
湯,hot_water,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
羊,sheep,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
美,beauty,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
洋,ocean,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
詳,detailed,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
鮮,fresh,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
達,attain,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
羨,envious,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
差,distinction,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
着,wear,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
唯,solely,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
堆,piled_high,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
椎,sweet_oak,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
誰,who,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
焦,char,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
礁,reef,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
集,gather,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
准,quasi,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
進,advance,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
雑,miscellaneous,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
雌,female,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
準,conform,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
奮,stirred_up,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
奪,rob,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
確,assurance,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
午,noon,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
許,permit,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
歓,delight,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
権,rights,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
観,observe,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
羽,feathers,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
習,learn,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
翌,following_day,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
曜,weekday,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
濯,laundry,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
曰,sayeth,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
困,quandary,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
固,hard,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
錮,weld,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
国,country,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
団,group,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
因,reason,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
姻,matrimony,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
咽,gullet,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
園,garden,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
回,occurrences,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
壇,podium,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
店,store,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
庫,storage,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
庭,courtyard,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
庁,government_office,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
床,bed,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
麻,hemp,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
磨,grind,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
心,heart,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
忘,forget,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
恣,selfish,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
忍,endure_silently,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
認,acknowledge,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
忌,mourning,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
志,intention,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
誌,document,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
芯,core,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
忠,loyalty,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
串,skewer,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
患,afflicted,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
思,think,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
恩,grace,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
応,respond,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
意,idea,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
臆,cowardice,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
想,concept,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
息,breath,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
憩,recess,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
恵,favor,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
恐,fear,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
惑,beguile,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
感,feeling,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
憂,melancholy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
寡,widow,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
忙,busy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
悦,ecstasy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
恒,constancy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
悼,lament,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
悟,enlightenment,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
怖,dreadful,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
慌,disconcerted,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
悔,repent,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
憎,hate,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
慣,accustomed,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
愉,pleasure,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
惰,lazy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
慎,humility,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
憾,remorse,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
憶,recollection,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
惧,disquieting,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
憧,desire,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
憬,long_for,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
慕,pining,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
添,annexed,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
必,invariably,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
泌,ooze,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
手,hand,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
看,watch_over,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
摩,chafe,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
我,ego,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
義,righteousness,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
議,deliberation,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
犠,sacrifice,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
抹,rub,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
拭,wipe,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
拉,yank,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
抱,embrace,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
搭,board,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
抄,extract,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
抗,confront,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
批,criticism,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
招,beckon,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
拓,clear_land,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
拍,clap,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
打,strike,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
拘,arrest,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
捨,discard,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
拐,kidnap,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
摘,pinch,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
挑,challenge,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
指,finger,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
持,hold,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
拶,imminent,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
括,fasten,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
揮,brandish,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
推,infer,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
揚,hoist,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
提,propose,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
損,damage,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
拾,pick_up,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
担,shouldering,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
拠,foothold,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
描,sketch,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
操,maneuver,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
接,touch,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
掲,put_up_notice,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
掛,hang,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
捗,make_headway,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
研,sharpen,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
戒,commandment,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
弄,tinker_with,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
械,contraption,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
鼻,nose,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
刑,punish,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
型,mould,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
才,genius,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
財,property,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
材,lumber,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
存,suppose,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
在,exist,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
乃,no,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
携,portable,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
及,reach_out,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
吸,suck,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
扱,handle,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
丈,length,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
史,history,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
吏,officer,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
更,further,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
硬,stiff,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
梗,spiny,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
又,or_again,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
双,pair,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
桑,mulberry,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
隻,vessels,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
護,safeguard,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
獲,seize,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
奴,guy,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
怒,angry,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
友,friend,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
抜,slip_out,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
投,throw,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
没,drown,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
股,crotch,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
設,establish,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
撃,beat,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
殻,husk,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
支,branch,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
技,skill,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
枝,bough,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
肢,limb,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
茎,stalk,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
怪,suspicious,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
軽,light_weight,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
叔,uncle,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
督,coach,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
寂,loneliness,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
淑,graceful,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
反,anti,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
坂,slope,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
板,plank,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
返,return,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
販,marketing,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
爪,claw,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
妥,gentle,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
乳,milk,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
浮,floating,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
淫,lewdness,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
将,leader,"64x64 pixel art, minimal style, 3-5 colors, clean pixel edges, simple abstract symbol"
