kanji,slug,keyword,prompt
失,lose,lose,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of lose, simple abstract form"
鉄,iron,iron,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of iron, simple abstract form"
迭,transfer,transfer,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of transfer, simple abstract form"
臣,retainer,retainer,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of retainer, simple abstract form"
姫,princess,princess,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of princess, simple abstract form"
蔵,storehouse,storehouse,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of storehouse, simple abstract form"
臓,entrails,entrails,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of entrails, simple abstract form"
賢,intelligent,intelligent,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of intelligent, simple abstract form"
腎,kidney,kidney,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of kidney, simple abstract form"
堅,strict,strict,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of strict, simple abstract form"
臨,look_to,look_to,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of look_to, simple abstract form"
覧,perusal,perusal,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of perusal, simple abstract form"
巨,gigantic,gigantic,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of gigantic, simple abstract form"
拒,repel,repel,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of repel, simple abstract form"
力,power,power,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of power, simple abstract form"
男,man,man,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of man, simple abstract form"
労,labor,labor,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of labor, simple abstract form"
募,recruit,recruit,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of recruit, simple abstract form"
劣,inferiority,inferiority,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of inferiority, simple abstract form"
功,achievement,achievement,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of achievement, simple abstract form"
勧,persuade,persuade,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of persuade, simple abstract form"
努,toil,toil,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of toil, simple abstract form"
勃,uprising,uprising,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of uprising, simple abstract form"
励,encourage,encourage,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of encourage, simple abstract form"
加,add,add,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of add, simple abstract form"
賀,congratulations,congratulations,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of congratulations, simple abstract form"
架,rack,rack,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of rack, simple abstract form"
脇,armpit,armpit,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of armpit, simple abstract form"
脅,threaten,threaten,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of threaten, simple abstract form"
協,cooperation,cooperation,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of cooperation, simple abstract form"
行,going,going,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of going, simple abstract form"
律,law,law,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of law, simple abstract form"
復,restore,restore,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of restore, simple abstract form"
得,acquire,acquire,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of acquire, simple abstract form"
従,obey,obey,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of obey, simple abstract form"
徒,junior,junior,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of junior, simple abstract form"
待,wait,wait,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of wait, simple abstract form"
往,journey,journey,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of journey, simple abstract form"
征,subjugate,subjugate,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of subjugate, simple abstract form"
径,diameter,diameter,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of diameter, simple abstract form"
彼,he,he,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of he, simple abstract form"
役,role,role,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of role, simple abstract form"
徳,benevolence,benevolence,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of benevolence, simple abstract form"
徹,penetrate,penetrate,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of penetrate, simple abstract form"
徴,indications,indications,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of indications, simple abstract form"
懲,penal,penal,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of penal, simple abstract form"
微,delicate,delicate,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of delicate, simple abstract form"
街,boulevard,boulevard,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of boulevard, simple abstract form"
桁,beam,beam,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of beam, simple abstract form"
衡,equilibrium,equilibrium,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of equilibrium, simple abstract form"
稿,draft,draft,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of draft, simple abstract form"
稼,earnings,earnings,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of earnings, simple abstract form"
程,extent,extent,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of extent, simple abstract form"
税,tax,tax,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of tax, simple abstract form"
稚,immature,immature,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of immature, simple abstract form"
和,harmony,harmony,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of harmony, simple abstract form"
移,shift,shift,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of shift, simple abstract form"
秒,second,second,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of second, simple abstract form"
秋,autumn,autumn,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of autumn, simple abstract form"
愁,distress,distress,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of distress, simple abstract form"
私,me,me,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of me, simple abstract form"
秩,regularity,regularity,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of regularity, simple abstract form"
秘,secret,secret,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of secret, simple abstract form"
称,appellation,appellation,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of appellation, simple abstract form"
利,profit,profit,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of profit, simple abstract form"
梨,pear_tree,pear_tree,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of pear_tree, simple abstract form"
穫,harvest,harvest,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of harvest, simple abstract form"
穂,ear_of_plant,ear_of_plant,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of ear_of_plant, simple abstract form"
稲,rice_plant,rice_plant,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of rice_plant, simple abstract form"
香,incense,incense,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of incense, simple abstract form"
季,seasons,seasons,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of seasons, simple abstract form"
委,committee,committee,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of committee, simple abstract form"
秀,excel,excel,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of excel, simple abstract form"
透,transparent,transparent,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of transparent, simple abstract form"
誘,entice,entice,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of entice, simple abstract form"
稽,examine,examine,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of examine, simple abstract form"
穀,cereals,cereals,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of cereals, simple abstract form"
菌,germ,germ,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of germ, simple abstract form"
萎,numb,numb,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of numb, simple abstract form"
米,rice,rice,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of rice, simple abstract form"
粉,flour,flour,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of flour, simple abstract form"
粘,sticky,sticky,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of sticky, simple abstract form"
粒,grains,grains,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of grains, simple abstract form"
粧,cosmetics,cosmetics,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of cosmetics, simple abstract form"
迷,astray,astray,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of astray, simple abstract form"
粋,chic,chic,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of chic, simple abstract form"
謎,riddle,riddle,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of riddle, simple abstract form"
糧,provisions,provisions,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of provisions, simple abstract form"
菊,chrysanthemum,chrysanthemum,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of chrysanthemum, simple abstract form"
奥,inner,inner,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of inner, simple abstract form"
数,number,number,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of number, simple abstract form"
楼,watchtower,watchtower,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of watchtower, simple abstract form"
類,sort,sort,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of sort, simple abstract form"
漆,lacquer,lacquer,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of lacquer, simple abstract form"
膝,knee,knee,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of knee, simple abstract form"
様,formal_title,formal_title,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of formal_title, simple abstract form"
求,request,request,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of request, simple abstract form"
球,sphere,sphere,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of sphere, simple abstract form"
救,salvation,salvation,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of salvation, simple abstract form"
竹,bamboo,bamboo,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of bamboo, simple abstract form"
笑,laugh,laugh,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of laugh, simple abstract form"
笠,bamboo_hat,bamboo_hat,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of bamboo_hat, simple abstract form"
笹,bamboo_grass,bamboo_grass,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of bamboo_grass, simple abstract form"
箋,stationery,stationery,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of stationery, simple abstract form"
筋,muscle,muscle,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of muscle, simple abstract form"
箱,box,box,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of box, simple abstract form"
筆,writing_brush,writing_brush,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of writing_brush, simple abstract form"
筒,cylinder,cylinder,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of cylinder, simple abstract form"
等,etc,etc,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of etc, simple abstract form"
算,calculate,calculate,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of calculate, simple abstract form"
答,answer,answer,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of answer, simple abstract form"
策,scheme,scheme,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of scheme, simple abstract form"
簿,register,register,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of register, simple abstract form"
築,fabricate,fabricate,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of fabricate, simple abstract form"
篭,basket,basket,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of basket, simple abstract form"
人,person,person,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a simple human figure representing person, minimal pose"
佐,assistant,assistant,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of assistant, simple abstract form"
侶,partner,partner,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of partner, simple abstract form"
但,however,however,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of however, simple abstract form"
住,dwelling,dwelling,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of dwelling, simple abstract form"
位,rank,rank,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of rank, simple abstract form"
仲,go_between,go_between,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of go_between, simple abstract form"
体,body,body,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of body, simple abstract form"
悠,permanence,permanence,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of permanence, simple abstract form"
件,affair,affair,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of affair, simple abstract form"
仕,attend_to,attend_to,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of attend_to, simple abstract form"
他,other,other,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of other, simple abstract form"
伏,prostrated,prostrated,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of prostrated, simple abstract form"
伝,transmit,transmit,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of transmit, simple abstract form"
仏,buddha,buddha,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of buddha, simple abstract form"
休,rest,rest,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of rest, simple abstract form"
仮,temporary,temporary,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of temporary, simple abstract form"
伎,performing artist,performing artist,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of performing artist, simple abstract form"
伯,chief,chief,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of chief, simple abstract form"
俗,vulgar,vulgar,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of vulgar, simple abstract form"
信,faith,faith,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of faith, simple abstract form"
佳,excellent,excellent,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of excellent, simple abstract form"
依,reliant,reliant,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of reliant, simple abstract form"
例,example,example,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of example, simple abstract form"
個,individual,individual,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of individual, simple abstract form"
健,healthy,healthy,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of healthy, simple abstract form"
側,side,side,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of side, simple abstract form"
侍,waiter,waiter,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of waiter, simple abstract form"
停,halt,halt,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of halt, simple abstract form"
値,value,value,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of value, simple abstract form"
倣,emulate,emulate,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of emulate, simple abstract form"
傲,arrogance,arrogance,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of arrogance, simple abstract form"
倒,overthrow,overthrow,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of overthrow, simple abstract form"
偵,spy,spy,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of spy, simple abstract form"
僧,buddhist_priest,buddhist_priest,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of buddhist_priest, simple abstract form"
億,hundred_million,hundred_million,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of hundred_million, simple abstract form"
儀,ritual,ritual,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of ritual, simple abstract form"
償,reparation,reparation,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of reparation, simple abstract form"
仙,hermit,hermit,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of hermit, simple abstract form"
催,sponsor,sponsor,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of sponsor, simple abstract form"
仁,humanity,humanity,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of humanity, simple abstract form"
侮,scorn,scorn,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of scorn, simple abstract form"
使,use,use,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of use, simple abstract form"
便,convenience,convenience,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of convenience, simple abstract form"
倍,double,double,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of double, simple abstract form"
優,tenderness,tenderness,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of tenderness, simple abstract form"
伐,fell,fell,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of fell, simple abstract form"
宿,inn,inn,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of inn, simple abstract form"
傷,wound,wound,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of wound, simple abstract form"
保,protect,protect,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of protect, simple abstract form"
褒,praise,praise,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of praise, simple abstract form"
傑,greatness,greatness,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of greatness, simple abstract form"
付,adhere,adhere,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of adhere, simple abstract form"
符,token,token,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of token, simple abstract form"
府,municipality,municipality,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of municipality, simple abstract form"
任,responsibility,responsibility,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of responsibility, simple abstract form"
賃,fare,fare,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of fare, simple abstract form"
代,substitute,substitute,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of substitute, simple abstract form"
袋,sack,sack,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of sack, simple abstract form"
貸,lend,lend,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of lend, simple abstract form"
化,change,change,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of change, simple abstract form"
花,flower,flower,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of flower, simple abstract form"
貨,freight,freight,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of freight, simple abstract form"
傾,lean,lean,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of lean, simple abstract form"
何,what,what,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of what, simple abstract form"
荷,baggage,baggage,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of baggage, simple abstract form"
俊,sagacious,sagacious,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of sagacious, simple abstract form"
傍,bystander,bystander,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of bystander, simple abstract form"
俺,myself,myself,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of myself, simple abstract form"
久,long_time,long_time,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of long_time, simple abstract form"
畝,furrow,furrow,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of furrow, simple abstract form"
囚,captured,captured,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of captured, simple abstract form"
内,inside,inside,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of inside, simple abstract form"
丙,third_class,third_class,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of third_class, simple abstract form"
柄,design,design,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of design, simple abstract form"
肉,meat,meat,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of meat, simple abstract form"
腐,rot,rot,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of rot, simple abstract form"
座,sit,sit,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of sit, simple abstract form"
挫,sprain,sprain,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of sprain, simple abstract form"
卒,graduate,graduate,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of graduate, simple abstract form"
傘,umbrella,umbrella,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of umbrella, simple abstract form"
匁,monme,monme,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of monme, simple abstract form"
以,by_means_of,by_means_of,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of by_means_of, simple abstract form"
似,resemble,resemble,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of resemble, simple abstract form"
併,join,join,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of join, simple abstract form"
瓦,tile,tile,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of tile, simple abstract form"
瓶,flower_pot,flower_pot,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of flower_pot, simple abstract form"
宮,shinto_shrine,shinto_shrine,"64x64 pixel art, minimal style, 3-5 colors, no text, clean pixel edges, simple composition, a symbolic representation of shinto_shrine, simple abstract form"
